district,y,m,rainfall
Tayeeglow,2015,7,37.35
Waajid,2015,7,13.35
Wanla Weyn,2015,7,18.63
Xarardheere,2015,7,16.66
Xudun,2015,7,1.34
Xudur,2015,7,13.41
Zeylac,2015,7,4.34
Adan Yabaal,2015,8,16.4
Afgooye,2015,8,15.88
Afmadow,2015,8,15.56
Baardheere,2015,8,7.19
Badhaadhe,2015,8,27.93
Baki,2015,8,21.69
Balcad,2015,8,21.77
Banadir,2015,8,43.45
Bandarbeyla,2015,8,2.53
Baraawe,2015,8,33.24
Baydhaba,2015,8,13.85
Belet Weyne,2015,8,5.92
Belet Xaawo,2015,8,5.45
Berbera,2015,8,2.47
Borama,2015,8,66.68
Bossaso,2015,8,5.94
Bu'aale,2015,8,17.8
Bulo Burto,2015,8,7.35
Burco,2015,8,3.56
Burtinle,2015,8,0.88
Buuhoodle,2015,8,0.51
Buur Hakaba,2015,8,16.77
Cabudwaaq,2015,8,3.22
Cadaado,2015,8,1.85
Cadale,2015,8,16.06
Caluula,2015,8,3.74
Caynabo,2015,8,1.28
Ceel Afweyn,2015,8,3.74
Ceel Barde,2015,8,11.7
Ceel Buur,2015,8,2.05
Ceel Dheer,2015,8,12.47
Ceel Waaq,2015,8,8.15
Ceerigaabo,2015,8,11.13
Dhuusamarreeb,2015,8,1.71
Diinsoor,2015,8,10.83
Doolow,2015,8,0.23
Eyl,2015,8,0.49
Gaalkacyo,2015,8,0.58
Galdogob,2015,8,0.36
Garbahaarey,2015,8,5.67
Garoowe,2015,8,0.98
Gebiley,2015,8,53.15
Hargeysa,2015,8,21.69
Hobyo,2015,8,1.68
Iskushuban,2015,8,3.76
Jalalaqsi,2015,8,4.68
Jamaame,2015,8,31.75
Jariiban,2015,8,0.12
Jilib,2015,8,30.72
Jowhar,2015,8,4.06
Kismaayo,2015,8,25.21
Kurtunwaarey,2015,8,30.73
Laas Caanood,2015,8,0.5
Laasqoray,2015,8,6.6
Lughaye,2015,8,1.76
Luuq,2015,8,2.41
Marka,2015,8,25.11
Owdweyne,2015,8,10.65
Qandala,2015,8,8.47
Qansax Dheere,2015,8,8.58
Qardho,2015,8,2.9
Qoryooley,2015,8,21.19
Rab Dhuure,2015,8,2.57
Saakow,2015,8,7.31
Sablaale,2015,8,20.1
Sheikh,2015,8,19.76
Taleex,2015,8,1.75
Tayeeglow,2015,8,14.62
Waajid,2015,8,8.3
Wanla Weyn,2015,8,5.15
Xarardheere,2015,8,10.54
Xudun,2015,8,0.77
Xudur,2015,8,8.96
Zeylac,2015,8,9.99
Adan Yabaal,2015,9,1.71
Afgooye,2015,9,5.43
Afmadow,2015,9,15.75
Baardheere,2015,9,7.02
Badhaadhe,2015,9,25.84
Baki,2015,9,26.93
Balcad,2015,9,4.02
Banadir,2015,9,7.63
Bandarbeyla,2015,9,3.94
Baraawe,2015,9,9.88
Baydhaba,2015,9,6.28
Belet Weyne,2015,9,5.07
Belet Xaawo,2015,9,2.08
Berbera,2015,9,10.85
Borama,2015,9,58.88
Bossaso,2015,9,14.57
Bu'aale,2015,9,15.01
Bulo Burto,2015,9,5.4
Burco,2015,9,24.95
Burtinle,2015,9,4.93
Buuhoodle,2015,9,19.22
Buur Hakaba,2015,9,7.99
Cabudwaaq,2015,9,4.93
Cadaado,2015,9,4.17
Cadale,2015,9,2.31
Caluula,2015,9,6.66
Caynabo,2015,9,17.48
Ceel Afweyn,2015,9,32.96
Ceel Barde,2015,9,9.66
Ceel Buur,2015,9,2.35
Ceel Dheer,2015,9,1.96
Ceel Waaq,2015,9,4.53
Ceerigaabo,2015,9,45.11
Dhuusamarreeb,2015,9,2.26
Diinsoor,2015,9,8.71
Doolow,2015,9,1.6
Eyl,2015,9,3.53
Gaalkacyo,2015,9,2.6
Galdogob,2015,9,3.38
Garbahaarey,2015,9,2.6
Garoowe,2015,9,6.58
Gebiley,2015,9,39.57
Hargeysa,2015,9,35.25
Hobyo,2015,9,2.33
Iskushuban,2015,9,4.05
Jalalaqsi,2015,9,2.44
Jamaame,2015,9,16.94
Jariiban,2015,9,2.29
Jilib,2015,9,15.73
Jowhar,2015,9,3.04
Kismaayo,2015,9,18.58
Kurtunwaarey,2015,9,10.17
Laas Caanood,2015,9,10.34
Laasqoray,2015,9,22.82
Lughaye,2015,9,11.08
Luuq,2015,9,2.5
Marka,2015,9,6.37
Owdweyne,2015,9,34.39
Qandala,2015,9,15.26
Qansax Dheere,2015,9,4.51
Qardho,2015,9,8.29
Qoryooley,2015,9,7.44
Rab Dhuure,2015,9,5.69
Saakow,2015,9,11.11
Sablaale,2015,9,12.95
Sheikh,2015,9,35.68
Taleex,2015,9,12.86
Tayeeglow,2015,9,8.48
Waajid,2015,9,9.7
Wanla Weyn,2015,9,4.56
Xarardheere,2015,9,1.14
Xudun,2015,9,9.35
Xudur,2015,9,18.1
Zeylac,2015,9,15.24
Adan Yabaal,2015,10,93.37
Afgooye,2015,10,81.52
Afmadow,2015,10,73.45
Baardheere,2015,10,104
Badhaadhe,2015,10,37.98
Baki,2015,10,12.19
Balcad,2015,10,93.53
Banadir,2015,10,45.87
Bandarbeyla,2015,10,13.13
Baraawe,2015,10,24.9
Baydhaba,2015,10,190
Belet Weyne,2015,10,160
Belet Xaawo,2015,10,99.37
Berbera,2015,10,40.77
Borama,2015,10,4.83
Bossaso,2015,10,11.92
Bu'aale,2015,10,71.81
Bulo Burto,2015,10,157
Burco,2015,10,54.54
Burtinle,2015,10,64.46
Buuhoodle,2015,10,121
Buur Hakaba,2015,10,132
Cabudwaaq,2015,10,137
Cadaado,2015,10,84.4
Cadale,2015,10,97.37
Caluula,2015,10,3.58
Caynabo,2015,10,55.57
Ceel Afweyn,2015,10,27.89
Ceel Barde,2015,10,166
Ceel Buur,2015,10,96.49
Ceel Dheer,2015,10,93.41
Ceel Waaq,2015,10,94.67
Ceerigaabo,2015,10,15.51
Dhuusamarreeb,2015,10,126
Diinsoor,2015,10,106
Doolow,2015,10,63.95
Eyl,2015,10,44.26
Gaalkacyo,2015,10,88.21
Galdogob,2015,10,82.01
Garbahaarey,2015,10,136
Garoowe,2015,10,49.44
Gebiley,2015,10,10.46
Hargeysa,2015,10,26.39
Hobyo,2015,10,80.45
Iskushuban,2015,10,4.91
Jalalaqsi,2015,10,173
Jamaame,2015,10,19.89
Jariiban,2015,10,51.52
Jilib,2015,10,34.44
Jowhar,2015,10,142
Kismaayo,2015,10,30.29
Kurtunwaarey,2015,10,64.41
Laas Caanood,2015,10,71.47
Laasqoray,2015,10,12.18
Lughaye,2015,10,9
Luuq,2015,10,114
Marka,2015,10,17.94
Owdweyne,2015,10,41.64
Qandala,2015,10,11.7
Qansax Dheere,2015,10,154
Qardho,2015,10,14.59
Qoryooley,2015,10,72.06
Rab Dhuure,2015,10,145
Saakow,2015,10,95.34
Sablaale,2015,10,67.94
Sheikh,2015,10,42.29
Taleex,2015,10,17.02
Tayeeglow,2015,10,147
Waajid,2015,10,188
Wanla Weyn,2015,10,149
Xarardheere,2015,10,27.37
Xudun,2015,10,33.66
Xudur,2015,10,197
Zeylac,2015,10,6.82
Adan Yabaal,2015,11,78.11
Afgooye,2015,11,96.64
Afmadow,2015,11,171
Baardheere,2015,11,106
Badhaadhe,2015,11,164
Baki,2015,11,14.68
Balcad,2015,11,124
Banadir,2015,11,108
Bandarbeyla,2015,11,9.54
Baraawe,2015,11,30.63
Baydhaba,2015,11,70.67
Belet Weyne,2015,11,40.12
Belet Xaawo,2015,11,55.56
Berbera,2015,11,29.45
Borama,2015,11,10.3
Bossaso,2015,11,4.34
Bu'aale,2015,11,136
Bulo Burto,2015,11,72.22
Burco,2015,11,16.69
Burtinle,2015,11,6.49
Buuhoodle,2015,11,21.92
Buur Hakaba,2015,11,90.27
Cabudwaaq,2015,11,25.3
Cadaado,2015,11,20.01
Cadale,2015,11,90.24
Caluula,2015,11,37.55
Caynabo,2015,11,14.2
Ceel Afweyn,2015,11,12.05
Ceel Barde,2015,11,34.04
Ceel Buur,2015,11,39.47
Ceel Dheer,2015,11,50.99
Ceel Waaq,2015,11,69.19
Ceerigaabo,2015,11,6.91
Dhuusamarreeb,2015,11,34.91
Diinsoor,2015,11,105
Doolow,2015,11,48.37
Eyl,2015,11,10.27
Gaalkacyo,2015,11,12.35
Galdogob,2015,11,18.62
Garbahaarey,2015,11,55.63
Garoowe,2015,11,5.06
Gebiley,2015,11,12.37
Hargeysa,2015,11,15.98
Hobyo,2015,11,11.23
Iskushuban,2015,11,13.26
Jalalaqsi,2015,11,96.68
Jamaame,2015,11,38.02
Jariiban,2015,11,8.72
Jilib,2015,11,83.18
Jowhar,2015,11,112
Kismaayo,2015,11,94.52
Kurtunwaarey,2015,11,69.03
Laas Caanood,2015,11,8.77
Laasqoray,2015,11,4.42
Lughaye,2015,11,13.15
Luuq,2015,11,40.38
Marka,2015,11,33.65
Owdweyne,2015,11,15.89
Qandala,2015,11,7.98
Qansax Dheere,2015,11,63.46
Qardho,2015,11,4.33
Qoryooley,2015,11,74.89
Rab Dhuure,2015,11,27.14
Saakow,2015,11,117
Sablaale,2015,11,90.63
Sheikh,2015,11,29.47
Taleex,2015,11,5.55
Tayeeglow,2015,11,59.25
Waajid,2015,11,36.53
Wanla Weyn,2015,11,117
Xarardheere,2015,11,16.57
Xudun,2015,11,10.36
Xudur,2015,11,30.43
Zeylac,2015,11,16.64
Adan Yabaal,2015,12,10.23
Afgooye,2015,12,14.75
Afmadow,2015,12,47.04
Baardheere,2015,12,22.78
Badhaadhe,2015,12,49.4
Baki,2015,12,5.78
Balcad,2015,12,17.02
Banadir,2015,12,14.81
Bandarbeyla,2015,12,9.06
Baraawe,2015,12,4.83
Baydhaba,2015,12,3.19
Belet Weyne,2015,12,1.42
Belet Xaawo,2015,12,4.69
Berbera,2015,12,8.14
Borama,2015,12,4.4
Bossaso,2015,12,9.24
Bu'aale,2015,12,19.14
Bulo Burto,2015,12,3.72
Burco,2015,12,2.12
Burtinle,2015,12,0.87
Buuhoodle,2015,12,3.52
Buur Hakaba,2015,12,3.7
Cabudwaaq,2015,12,1
Cadaado,2015,12,0.58
Cadale,2015,12,12.9
Caluula,2015,12,16.5
Caynabo,2015,12,2.06
Ceel Afweyn,2015,12,3.49
Ceel Barde,2015,12,0.74
Ceel Buur,2015,12,4.02
Ceel Dheer,2015,12,8.49
Ceel Waaq,2015,12,16.88
Ceerigaabo,2015,12,2.66
Dhuusamarreeb,2015,12,0.78
Diinsoor,2015,12,4.81
Doolow,2015,12,1.17
Eyl,2015,12,2.15
Gaalkacyo,2015,12,1.29
Galdogob,2015,12,3.12
Garbahaarey,2015,12,7.09
Garoowe,2015,12,0.58
Gebiley,2015,12,2.11
Hargeysa,2015,12,1.58
Hobyo,2015,12,3.48
Iskushuban,2015,12,4.29
Jalalaqsi,2015,12,4.52
Jamaame,2015,12,27.61
Jariiban,2015,12,2.62
Jilib,2015,12,26.99
Jowhar,2015,12,10.21
Kismaayo,2015,12,57.77
Kurtunwaarey,2015,12,4.95
Laas Caanood,2015,12,1.93
Laasqoray,2015,12,4.55
Lughaye,2015,12,7.72
Luuq,2015,12,2.38
Marka,2015,12,9.88
Owdweyne,2015,12,2.75
Qandala,2015,12,10.17
Qansax Dheere,2015,12,6.45
Qardho,2015,12,2.12
Qoryooley,2015,12,6.59
Rab Dhuure,2015,12,1.29
Saakow,2015,12,22.64
Sablaale,2015,12,7.86
Sheikh,2015,12,8.73
Taleex,2015,12,0.42
Tayeeglow,2015,12,1.33
Waajid,2015,12,1.88
Wanla Weyn,2015,12,6.09
Xarardheere,2015,12,11.14
Xudun,2015,12,1.92
Xudur,2015,12,0.79
Zeylac,2015,12,8.97
Adan Yabaal,2016,1,2.98
Afgooye,2016,1,1.53
Afmadow,2016,1,2.51
Baardheere,2016,1,1.46
Badhaadhe,2016,1,4.49
Baki,2016,1,6.84
Balcad,2016,1,1.77
Banadir,2016,1,0.73
Bandarbeyla,2016,1,1.17
Baraawe,2016,1,0.49
Baydhaba,2016,1,1.26
Belet Weyne,2016,1,1.02
Belet Xaawo,2016,1,1.31
Berbera,2016,1,4.62
Borama,2016,1,4.78
Bossaso,2016,1,0.44
Bu'aale,2016,1,1.29
Bulo Burto,2016,1,2.16
Burco,2016,1,2.2
Burtinle,2016,1,1.21
Buuhoodle,2016,1,0.99
Buur Hakaba,2016,1,1.16
Cabudwaaq,2016,1,1.2
Cadaado,2016,1,2.14
Cadale,2016,1,2.32
Caluula,2016,1,1.62
Caynabo,2016,1,2.15
Ceel Afweyn,2016,1,3.27
Ceel Barde,2016,1,0.72
Ceel Buur,2016,1,3.57
Ceel Dheer,2016,1,3.78
Ceel Waaq,2016,1,1.32
Ceerigaabo,2016,1,3.17
Dhuusamarreeb,2016,1,2.42
Diinsoor,2016,1,1.04
Doolow,2016,1,1.01
Eyl,2016,1,2.42
Gaalkacyo,2016,1,0.51
Galdogob,2016,1,0.27
Garbahaarey,2016,1,1.29
Garoowe,2016,1,1.83
Gebiley,2016,1,2.46
Hargeysa,2016,1,2.66
Hobyo,2016,1,0.94
Iskushuban,2016,1,0.58
Jalalaqsi,2016,1,2.71
Jamaame,2016,1,1.16
Jariiban,2016,1,1.04
Jilib,2016,1,1.49
Jowhar,2016,1,2.3
Kismaayo,2016,1,2.21
Kurtunwaarey,2016,1,0.92
Laas Caanood,2016,1,1.07
Laasqoray,2016,1,0.38
Lughaye,2016,1,8.58
Luuq,2016,1,0.89
Marka,2016,1,1.13
Owdweyne,2016,1,2.85
Qandala,2016,1,0.53
Qansax Dheere,2016,1,1.24
Qardho,2016,1,0.2
Qoryooley,2016,1,1.39
Rab Dhuure,2016,1,0.4
Saakow,2016,1,0.97
Sablaale,2016,1,0.88
Sheikh,2016,1,3.19
Taleex,2016,1,0.75
Tayeeglow,2016,1,0.7
Waajid,2016,1,0.67
Wanla Weyn,2016,1,1.88
Xarardheere,2016,1,3.25
Xudun,2016,1,1.59
Xudur,2016,1,0.47
Zeylac,2016,1,8.79
Adan Yabaal,2016,2,1.21
Afgooye,2016,2,1.21
Afmadow,2016,2,9.72
Baardheere,2016,2,7.08
Badhaadhe,2016,2,4.54
Baki,2016,2,4.32
Balcad,2016,2,1.13
Banadir,2016,2,1.59
Bandarbeyla,2016,2,0.35
Baraawe,2016,2,0.48
Baydhaba,2016,2,2.71
Belet Weyne,2016,2,0.84
Belet Xaawo,2016,2,4.74
Berbera,2016,2,1.04
Borama,2016,2,7.49
Bossaso,2016,2,0.82
Bu'aale,2016,2,3.3
Bulo Burto,2016,2,0.95
Burco,2016,2,2.85
Burtinle,2016,2,0.7
Buuhoodle,2016,2,1.39
Buur Hakaba,2016,2,2.38
Cabudwaaq,2016,2,1.91
Cadaado,2016,2,0.69
Cadale,2016,2,1.38
Caluula,2016,2,0.32
Caynabo,2016,2,1.6
Ceel Afweyn,2016,2,2.16
Ceel Barde,2016,2,0.99
Ceel Buur,2016,2,1.09
Ceel Dheer,2016,2,1.38
Ceel Waaq,2016,2,5
Ceerigaabo,2016,2,2.8
Dhuusamarreeb,2016,2,0.97
Diinsoor,2016,2,3.55
Doolow,2016,2,3.92
Eyl,2016,2,0.29
Gaalkacyo,2016,2,0.54
Galdogob,2016,2,0.57
Garbahaarey,2016,2,3.18
Garoowe,2016,2,0.46
Gebiley,2016,2,6.42
Hargeysa,2016,2,4.52
Hobyo,2016,2,0.72
Iskushuban,2016,2,0.26
Jalalaqsi,2016,2,1.5
Jamaame,2016,2,2.33
Jariiban,2016,2,0.55
Jilib,2016,2,1.87
Jowhar,2016,2,1.49
Kismaayo,2016,2,2.82
Kurtunwaarey,2016,2,1.1
Laas Caanood,2016,2,0.73
Laasqoray,2016,2,1.22
Lughaye,2016,2,3.77
Luuq,2016,2,2.85
Marka,2016,2,0.49
Owdweyne,2016,2,4.73
Qandala,2016,2,0.85
Qansax Dheere,2016,2,3.5
Qardho,2016,2,0.61
Qoryooley,2016,2,0.75
Rab Dhuure,2016,2,1.36
Saakow,2016,2,6.05
Sablaale,2016,2,1.56
Sheikh,2016,2,4.07
Taleex,2016,2,1
Tayeeglow,2016,2,0.64
Waajid,2016,2,0.99
Wanla Weyn,2016,2,1.69
Xarardheere,2016,2,1.73
Xudun,2016,2,0.82
Xudur,2016,2,0.68
Zeylac,2016,2,5.54
Adan Yabaal,2016,3,7.69
Afgooye,2016,3,2.59
Afmadow,2016,3,10.36
Baardheere,2016,3,7.35
Badhaadhe,2016,3,12.14
Baki,2016,3,3.6
Balcad,2016,3,5.39
Banadir,2016,3,3.49
Bandarbeyla,2016,3,1.7
Baraawe,2016,3,2.31
Baydhaba,2016,3,6.19
Belet Weyne,2016,3,4.08
Belet Xaawo,2016,3,5.5
Berbera,2016,3,0.93
Borama,2016,3,8.56
Bossaso,2016,3,2.75
Bu'aale,2016,3,4.73
Bulo Burto,2016,3,4.85
Burco,2016,3,5.03
Burtinle,2016,3,3
Buuhoodle,2016,3,5.22
Buur Hakaba,2016,3,3.87
Cabudwaaq,2016,3,3.92
Cadaado,2016,3,3.7
Cadale,2016,3,8.16
Caluula,2016,3,2.08
Caynabo,2016,3,2.49
Ceel Afweyn,2016,3,1.72
Ceel Barde,2016,3,4.9
Ceel Buur,2016,3,7.29
Ceel Dheer,2016,3,9.42
Ceel Waaq,2016,3,8.62
Ceerigaabo,2016,3,7.68
Dhuusamarreeb,2016,3,7.75
Diinsoor,2016,3,5.79
Doolow,2016,3,3.55
Eyl,2016,3,2.73
Gaalkacyo,2016,3,2.36
Galdogob,2016,3,2.94
Garbahaarey,2016,3,7.39
Garoowe,2016,3,2.71
Gebiley,2016,3,7.85
Hargeysa,2016,3,6.16
Hobyo,2016,3,7.25
Iskushuban,2016,3,1.75
Jalalaqsi,2016,3,4.4
Jamaame,2016,3,3.5
Jariiban,2016,3,4.47
Jilib,2016,3,2.87
Jowhar,2016,3,4.98
Kismaayo,2016,3,9.6
Kurtunwaarey,2016,3,4.35
Laas Caanood,2016,3,2.34
Laasqoray,2016,3,6.33
Lughaye,2016,3,3.73
Luuq,2016,3,4.52
Marka,2016,3,2.56
Owdweyne,2016,3,7.85
Qandala,2016,3,3.31
Qansax Dheere,2016,3,9.12
Qardho,2016,3,3.65
Qoryooley,2016,3,2.95
Rab Dhuure,2016,3,4.92
Saakow,2016,3,4.38
Sablaale,2016,3,3.31
Sheikh,2016,3,3.69
Taleex,2016,3,3.71
Tayeeglow,2016,3,4.31
Waajid,2016,3,4.76
Wanla Weyn,2016,3,3.35
Xarardheere,2016,3,11.95
Xudun,2016,3,1.54
Xudur,2016,3,3.18
Zeylac,2016,3,5.34
Adan Yabaal,2016,4,35.95
Afgooye,2016,4,46.32
Afmadow,2016,4,76.64
Baardheere,2016,4,109
Badhaadhe,2016,4,82.89
Baki,2016,4,140
Balcad,2016,4,43.69
Banadir,2016,4,42
Bandarbeyla,2016,4,15.06
Baraawe,2016,4,45
Baydhaba,2016,4,161
Belet Weyne,2016,4,48.75
Belet Xaawo,2016,4,154
Berbera,2016,4,62.39
Borama,2016,4,194
Bossaso,2016,4,23.86
Bu'aale,2016,4,81.06
Bulo Burto,2016,4,43.42
Burco,2016,4,51.87
Burtinle,2016,4,38.39
Buuhoodle,2016,4,49.14
Buur Hakaba,2016,4,79.38
Cabudwaaq,2016,4,55.53
Cadaado,2016,4,53.13
Cadale,2016,4,29.1
Caluula,2016,4,4.57
Caynabo,2016,4,43.88
Ceel Afweyn,2016,4,44.5
Ceel Barde,2016,4,112
Ceel Buur,2016,4,37.24
Ceel Dheer,2016,4,39.27
Ceel Waaq,2016,4,161
Ceerigaabo,2016,4,29.67
Dhuusamarreeb,2016,4,47.8
Diinsoor,2016,4,78.39
Doolow,2016,4,140
Eyl,2016,4,26.82
Gaalkacyo,2016,4,48.53
Galdogob,2016,4,66.22
Garbahaarey,2016,4,135
Garoowe,2016,4,24.04
Gebiley,2016,4,169
Hargeysa,2016,4,95.31
Hobyo,2016,4,29.34
Iskushuban,2016,4,11.39
Jalalaqsi,2016,4,34.87
Jamaame,2016,4,57.97
Jariiban,2016,4,29.26
Jilib,2016,4,68.2
Jowhar,2016,4,32.96
Kismaayo,2016,4,55.72
Kurtunwaarey,2016,4,51.32
Laas Caanood,2016,4,32.49
Laasqoray,2016,4,31.37
Lughaye,2016,4,77.91
Luuq,2016,4,150
Marka,2016,4,29.82
Owdweyne,2016,4,54.37
Qandala,2016,4,21.43
Qansax Dheere,2016,4,112
Qardho,2016,4,21.47
Qoryooley,2016,4,44.08
Rab Dhuure,2016,4,237
Saakow,2016,4,85.38
Sablaale,2016,4,70.06
Sheikh,2016,4,88.64
Taleex,2016,4,20.11
Tayeeglow,2016,4,73.2
Waajid,2016,4,216
Wanla Weyn,2016,4,43.1
Xarardheere,2016,4,27.31
Xudun,2016,4,25.27
Xudur,2016,4,115
Zeylac,2016,4,69.53
Adan Yabaal,2016,5,66.44
Afgooye,2016,5,77.43
Afmadow,2016,5,57.24
Baardheere,2016,5,36.11
Badhaadhe,2016,5,106
Baki,2016,5,26.36
Balcad,2016,5,73.88
Banadir,2016,5,72.41
Bandarbeyla,2016,5,33.7
Baraawe,2016,5,67.76
Baydhaba,2016,5,55.93
Belet Weyne,2016,5,39.04
Belet Xaawo,2016,5,30.08
Berbera,2016,5,31.58
Borama,2016,5,51.73
Bossaso,2016,5,13.94
Bu'aale,2016,5,107
Bulo Burto,2016,5,52.65
Burco,2016,5,63.92
Burtinle,2016,5,71.88
Buuhoodle,2016,5,62.33
Buur Hakaba,2016,5,83.5
Cabudwaaq,2016,5,67.17
Cadaado,2016,5,62.97
Cadale,2016,5,62.18
Caluula,2016,5,11.46
Caynabo,2016,5,62.96
Ceel Afweyn,2016,5,51.75
Ceel Barde,2016,5,30.6
Ceel Buur,2016,5,66.31
Ceel Dheer,2016,5,71.7
Ceel Waaq,2016,5,27.51
Ceerigaabo,2016,5,37.42
Dhuusamarreeb,2016,5,66.05
Diinsoor,2016,5,73.57
Doolow,2016,5,18.56
Eyl,2016,5,63.63
Gaalkacyo,2016,5,61.53
Galdogob,2016,5,54.28
Garbahaarey,2016,5,30.52
Garoowe,2016,5,43.83
Gebiley,2016,5,57.33
Hargeysa,2016,5,61.3
Hobyo,2016,5,57.75
Iskushuban,2016,5,14.23
Jalalaqsi,2016,5,48.53
Jamaame,2016,5,94.82
Jariiban,2016,5,59.73
Jilib,2016,5,104
Jowhar,2016,5,53.52
Kismaayo,2016,5,71.67
Kurtunwaarey,2016,5,71.33
Laas Caanood,2016,5,38.76
Laasqoray,2016,5,20.79
Lughaye,2016,5,11.97
Luuq,2016,5,29.63
Marka,2016,5,49.31
Owdweyne,2016,5,70.06
Qandala,2016,5,17.79
Qansax Dheere,2016,5,40.06
Qardho,2016,5,28.14
Qoryooley,2016,5,72.4
Rab Dhuure,2016,5,37.06
Saakow,2016,5,53.01
Sablaale,2016,5,108
Sheikh,2016,5,48.09
Taleex,2016,5,19.83
Tayeeglow,2016,5,36.3
Waajid,2016,5,41.46
Wanla Weyn,2016,5,70.7
Xarardheere,2016,5,85.96
Xudun,2016,5,42.19
Xudur,2016,5,31.59
Zeylac,2016,5,18.17
Adan Yabaal,2016,6,5.98
Afgooye,2016,6,41.97
Afmadow,2016,6,33.54
Baardheere,2016,6,9.1
Badhaadhe,2016,6,43.45
Baki,2016,6,3.54
Balcad,2016,6,33.83
Banadir,2016,6,44.18
Bandarbeyla,2016,6,1.21
Baraawe,2016,6,45.92
Baydhaba,2016,6,15.74
Belet Weyne,2016,6,1.93
Belet Xaawo,2016,6,3.21
Berbera,2016,6,1.64
Borama,2016,6,12.33
Bossaso,2016,6,4.3
Bu'aale,2016,6,67.88
Bulo Burto,2016,6,3.51
Burco,2016,6,7.67
Burtinle,2016,6,2.19
Buuhoodle,2016,6,1.77
Buur Hakaba,2016,6,41.91
Cabudwaaq,2016,6,1.3
Cadaado,2016,6,1.78
Cadale,2016,6,13.55
Caluula,2016,6,1.06
Caynabo,2016,6,9.67
Ceel Afweyn,2016,6,11.55
Ceel Barde,2016,6,1.15
Ceel Buur,2016,6,1.27
Ceel Dheer,2016,6,5.93
Ceel Waaq,2016,6,5.76
Ceerigaabo,2016,6,14.85
Dhuusamarreeb,2016,6,0.99
Diinsoor,2016,6,29.32
Doolow,2016,6,1.62
Eyl,2016,6,1.64
Gaalkacyo,2016,6,2.48
Galdogob,2016,6,2.01
Garbahaarey,2016,6,4.07
Garoowe,2016,6,1.69
Gebiley,2016,6,13.7
Hargeysa,2016,6,15.1
Hobyo,2016,6,1.68
Iskushuban,2016,6,1.49
Jalalaqsi,2016,6,6.02
Jamaame,2016,6,68.27
Jariiban,2016,6,2.12
Jilib,2016,6,59.34
Jowhar,2016,6,10.25
Kismaayo,2016,6,57.32
Kurtunwaarey,2016,6,55.44
Laas Caanood,2016,6,1.42
Laasqoray,2016,6,6.44
Lughaye,2016,6,0.3
Luuq,2016,6,3.49
Marka,2016,6,51.19
Owdweyne,2016,6,12.08
Qandala,2016,6,3.81
Qansax Dheere,2016,6,7.5
Qardho,2016,6,2.76
Qoryooley,2016,6,54.74
Rab Dhuure,2016,6,1.35
Saakow,2016,6,26.6
Sablaale,2016,6,60.96
Sheikh,2016,6,11.08
Taleex,2016,6,6.34
Tayeeglow,2016,6,6.55
Waajid,2016,6,7.21
Wanla Weyn,2016,6,26.65
Xarardheere,2016,6,3.6
Xudun,2016,6,5.65
Xudur,2016,6,1.49
Zeylac,2016,6,1.39
Adan Yabaal,2016,7,26.18
Afgooye,2016,7,16.33
Afmadow,2016,7,19.12
Baardheere,2016,7,11.05
Badhaadhe,2016,7,26.87
Baki,2016,7,13.48
Balcad,2016,7,20.49
Banadir,2016,7,33.95
Bandarbeyla,2016,7,0.15
Baraawe,2016,7,26.01
Baydhaba,2016,7,15.58
Belet Weyne,2016,7,6.54
Belet Xaawo,2016,7,5.14
Berbera,2016,7,3.58
Borama,2016,7,38.5
Bossaso,2016,7,0.83
Bu'aale,2016,7,16.37
Bulo Burto,2016,7,13.48
Burco,2016,7,4.1
Burtinle,2016,7,0.11
Buuhoodle,2016,7,2.37
Buur Hakaba,2016,7,15.38
Cabudwaaq,2016,7,2.59
Cadaado,2016,7,1.43
Cadale,2016,7,27.48
Caluula,2016,7,0.3
Caynabo,2016,7,2.89
Ceel Afweyn,2016,7,2.97
Ceel Barde,2016,7,9.97
Ceel Buur,2016,7,5.61
Ceel Dheer,2016,7,22.8
Ceel Waaq,2016,7,8.36
Ceerigaabo,2016,7,1.98
Dhuusamarreeb,2016,7,3.69
Diinsoor,2016,7,13.11
Doolow,2016,7,0.28
Eyl,2016,7,0.05
Gaalkacyo,2016,7,0.56
Galdogob,2016,7,0.37
Garbahaarey,2016,7,5.43
Garoowe,2016,7,0.09
Gebiley,2016,7,33.07
Hargeysa,2016,7,17.47
Hobyo,2016,7,2.79
Iskushuban,2016,7,0.31
Jalalaqsi,2016,7,12.92
Jamaame,2016,7,24.76
Jariiban,2016,7,0.64
Jilib,2016,7,26.32
Jowhar,2016,7,13.05
Kismaayo,2016,7,36
Kurtunwaarey,2016,7,24.1
Laas Caanood,2016,7,0.16
Laasqoray,2016,7,1.37
Lughaye,2016,7,3.82
Luuq,2016,7,2.08
Marka,2016,7,22.94
Owdweyne,2016,7,8.86
Qandala,2016,7,1.05
Qansax Dheere,2016,7,9.69
Qardho,2016,7,0.55
Qoryooley,2016,7,18.99
Rab Dhuure,2016,7,1.41
Saakow,2016,7,13.62
Sablaale,2016,7,23.63
Sheikh,2016,7,10.41
Taleex,2016,7,0.63
Tayeeglow,2016,7,27.03
Waajid,2016,7,10.92
Wanla Weyn,2016,7,10.16
Xarardheere,2016,7,16.67
Xudun,2016,7,1.09
Xudur,2016,7,10.6
Zeylac,2016,7,12.65
